"gaptext","date","gap_open","gap_high","gap_low","gap_close","gap_volume","gap_adj_close","ny_snow","ny_mean_temp","ny_max_temp","ny_min_temp","la_snow","la_mean_temp","la_max_temp","la_min_temp","chi_snow","chi_mean_temp","chi_max_temp","chi_min_temp","hou_snow","hou_mean_temp","hou_max_temp","hou_min_temp","unemployment"
"@sassystephk Happy to hear this! We'll share your feedback with the district leadership so she can be commended. Thanks for shopping Gap!",2016-04-26,23.459999,23.879999,23.16,23.870001,3774800,23.870001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wear it everywhere. @itsmattbauer hits the beach in a classic denim
jacket. https://t.co/ahAHEpC8jw #nothingbutdenim https://t.co/Eh6ru8XOu1",2016-04-26,23.459999,23.879999,23.16,23.870001,3774800,23.870001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"@Greenjuicebabe Our new Authentic 1969 jeans are less stretch, same styles.  Try them out!  Thanks!",2016-04-26,23.459999,23.879999,23.16,23.870001,3774800,23.870001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"@ThatJoshRandall Sorry to disappoint. UK Gift Cards are only valid in stores. More questions? Call 08003680674 or email custserv@gap.co.uk.",2016-04-26,23.459999,23.879999,23.16,23.870001,3774800,23.870001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"@bavarianpretzel We don't have any specifics on restocks, but we'll share your feedback with our merchandising leaders. Thanks!",2016-04-25,23.82,23.91,23.27,23.41,3482800,23.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"@vindugoel Sorry to hear this. We'd love to get more information so we can help. Please email us at custserv@gap.com Attn: Twitter Team",2016-04-25,23.82,23.91,23.27,23.41,3482800,23.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"@PatronedOutlier Sorry to hear this. We'll share your feedback with the store's leadership team so they can look into it. Thanks!",2016-04-25,23.82,23.91,23.27,23.41,3482800,23.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"@Tribefanne Mail only items are labeled as such online. Feel free to call us at 800-GAP-STYLE if you have any questions when ordering.",2016-04-25,23.82,23.91,23.27,23.41,3482800,23.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"@al_rasheed We try to anticipate business levels. Sorry to hear your store was not staffed. Let us know which store so we can follow up.",2016-04-25,23.82,23.91,23.27,23.41,3482800,23.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chasing the sunset with @Sierra_Prescott. https://t.co/ahAHEpC8jw #nothingbutdenim https://t.co/GQGfhEVOMn",2016-04-25,23.82,23.91,23.27,23.41,3482800,23.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"@JustChetu So sorry, but alterations are not available for any Gap stores at this time.  We can share your interest in this service. Thx!",2016-04-25,23.82,23.91,23.27,23.41,3482800,23.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"@Tribefanne If your experience is contrary to these guidelines, call so we can help.  Thanks! 1-800-GAPSTYLE",2016-04-25,23.82,23.91,23.27,23.41,3482800,23.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"@Tribefanne All items can be returned in stores except for a few that are marked as such on the invoice. We do provide free return labels.",2016-04-25,23.82,23.91,23.27,23.41,3482800,23.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"@PatronedOutlier We are sorry for this experience. Which location? We want to share your feedback on this change.  Thanks!",2016-04-25,23.82,23.91,23.27,23.41,3482800,23.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"@natalietgraham Hope CS was able to help. If not, let us know we will see if it is avail in a store for you.  Thanks!",2016-04-25,23.82,23.91,23.27,23.41,3482800,23.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"@SERCNM Sorry that they didn't fit as expected. Give us a call so we can get more details about the product. Thanks! 1-800-GAPSTYLE",2016-04-25,23.82,23.91,23.27,23.41,3482800,23.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"@al_rasheed We had a great response to our sale this past weekend. Sorry for the long wait. We shared this with the mgr for follow up. Thx",2016-04-25,23.82,23.91,23.27,23.41,3482800,23.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"@XOKatReid So sorry to hear this. Please give us a call, we want to see how we can help.",2016-04-25,23.82,23.91,23.27,23.41,3482800,23.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"@iannuzzimarco Sorry to see this. Take them to the store and meet with manager. If they see they're defective, they can help. Thanks",2016-04-25,23.82,23.91,23.27,23.41,3482800,23.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"@Ellie__Doyle Thanks for tweeting.  We are happy to look into this for you. Please send us more info via email. custserv@gap.com. Thanks",2016-04-25,23.82,23.91,23.27,23.41,3482800,23.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"@Q_lalala Sorry to disappoint. We shared this with our marketing team for review.  Hopefully there will be some great deals coming soon!",2016-04-25,23.82,23.91,23.27,23.41,3482800,23.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"@yuriaurich This is not what we envision for our customers. Thanks for sending this. We shared it with area leadership for follow up. Thx",2016-04-25,23.82,23.91,23.27,23.41,3482800,23.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"@loulabell30 Give us a call or email with the code number so we can see what is going on.  Thanks!  custserv@gap.com or 1-800-GAPSTYLE",2016-04-25,23.82,23.91,23.27,23.41,3482800,23.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"@amccall56 We are so sorry to hear this. Thanks for letting us know. We shared it with area leadership for follow up. Thx",2016-04-25,23.82,23.91,23.27,23.41,3482800,23.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"@Kat_Hodge1310 This is not what we envision for our customers. Thanks for sending this. We shared it with area leadership for follow up. Thx",2016-04-25,23.82,23.91,23.27,23.41,3482800,23.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"@vindugoel If your experience was contrary to these guidelines, please call so we can help.  1-800-GAPSTYLE.  Thanks!",2016-04-25,23.82,23.91,23.27,23.41,3482800,23.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"@vindugoel If your return was within the time frame, you should have been able to receive a gift card for the return.",2016-04-25,23.82,23.91,23.27,23.41,3482800,23.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"@vindugoel If the return was outside of the return time frame, the store is only able to issue a merchandise certificate.",2016-04-25,23.82,23.91,23.27,23.41,3482800,23.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"@bavarianpretzel .  Authentic is less stretch than the original real straight but the cut is the same. Hope this is helpful.",2016-04-25,23.82,23.91,23.27,23.41,3482800,23.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jamie Bauer hits the sand with simple pieces. https://t.co/ahAHEpC8jw #nothingbutdenim https://t.co/tsqxkNoxEz",2016-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alternative rock band @grizfolk never takes the stage in anything but denim https://t.co/ahAHEpC8jw #nothingbutdenim https://t.co/3j4pB5uGqx",2016-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
